Set,ID,Section,Type,Points,Text,Option_A,Option_B,Option_C,Option_D,CorrectIndex,Rubric
A,A_1,A,openEnded,8,"1. What component acts like a ""kink in a hose"" to limit the flow of electricity?",,,,,,"Award 8 points for identifying ""Resistor""."
A,A_2,A,openEnded,8,2. The battery pack in your Smart Garden supplies DC power. What does DC stand for?,,,,,,Award 8 points for identifying "Direct Current".
A,A_3,A,openEnded,8,3. What unit of measurement is used to measure electrical pressure (Voltage)?,,,,,,Award 8 points for identifying "Volts" or "V".
A,A_4,A,openEnded,8,4. What happens if you install an LED into your circuit backwards?,,,,,,Award 8 points for stating it will not turn on or light up because LEDs only allow current in one direction.
A,A_5,A,openEnded,8,5. Write the standard mathematical formula for Ohm's Law.,,,,,,Award 8 points for V = I * R (or V = IR).
A,A_6,B,mc,4,6. Which circuit symbol is drawn as a plain rectangle?,Battery,Switch,Resistor,LED,2,Award 4 points for Resistor (index 2).
A,A_7,B,mc,4,7. What do the colored bands painted on a fixed resistor tell you?,Its resistance value and tolerance,How much voltage it produces,Which way to plug it in,If it uses AC or DC power,0,Award 4 points for "Its resistance value and tolerance".
A,A_8,B,mc,4,8. To measure voltage the multimeter probes must be connected:,In parallel (across the component),In series (breaking the circuit),Only when the power is OFF,Directly to the wall socket,0,Award 4 points for "In parallel (across the component)".
A,A_9,B,mc,4,9. Which component acts as the main power source for the Smart Garden?,The Resistor,The LED,The 7.4V Battery Pack,The Multimeter,2,Award 4 points for "The 7.4V Battery Pack".
A,A_10,B,mc,4,10. What is the function of a switch in a circuit?,To create electrons,To change DC to AC,To break or complete the path of electricity,To change colors of the LED,2,Award 4 points for "To break or complete the path of electricity".
B,B_1,A,openEnded,8,1. Your plant monitoring system is powered by a 7.4V battery pack. Total resistance is 330 ohms. Calculate the exact current flowing through the system.,,,,,,Award 4 points for formula (I=V/R) and values. Award 4 points for answer: 0.022A or 22mA.
B,B_2,A,openEnded,8,"2. You find a resistor painted Brown, Black, Red, Gold. Calculate its nominal value and state the acceptable minimum and maximum resistance based on tolerance.",,,,,,Award 4 pts for nominal value (1000 ohms / 1k ohm). Award 4 pts for tolerance range: 950 ohms to 1050 ohms.
B,B_3,A,openEnded,8,3. A student reads 0.00A on a circuit that is switched ON. Write a checklist of three physical connections they should check.,,,,,,Award 8 pts for 3 valid physical checks (LED backwards / battery disconnected / switch seated wrong / meter not in series). 4 pts for 1-2 checks.
B,B_4,A,openEnded,8,"4. Match each scenario to Voltage, Current, or Resistance: a) Water pump blocked by debris. b) Connecting multimeter without breaking circuit. c) Removing component completely to test safely.",,,,,,Award 8 pts total. a) Resistance (3 pts). b) Voltage (3 pts). c) Resistance (2 pts).
B,B_5,A,openEnded,8,5. Explain using the water hose analogy why adding a second resistor in series makes the LED dimmer.,,,,,,Award 8 points for explaining a resistor is a kink in the hose and a second kink further restricts flow (current) leaving less to power the LED.
B,B_6,B,mc,4,6. The switch is closed but the LED does not turn on. Most likely cause?,The LED long leg (anode) is connected to 0V.,Resistor is backwards.,Battery is supplying DC.,Switch is bridging the gap.,0,Award 4 points for "The LED long leg (anode) is connected to 0V."
B,B_7,B,mc,4,7. To measure voltage across a single resistor in a functioning circuit you must:,Connect probes across the resistor while power is ON.,Break circuit and insert in series.,Turn power OFF and remove resistor.,Switch to A setting.,0,Award 4 points for "Connect probes across the resistor while power is ON."
B,B_8,B,mc,4,8. A design calls for 150 ohms but you only have standard E12 values. Which component do you select?,150 ohms,120 ohms,180 ohms,100 ohms,0,Award 4 points for 150 ohms (it IS a standard E12 value).
B,B_9,B,mc,4,9. Why do we strictly use DC power in the garden projects instead of AC?,DC flows in one direction and is a safe voltage.,AC does not work with resistors.,DC reverses direction safer for plants.,AC changes LED colors.,0,Award 4 points for "DC flows in one direction and is a safe voltage."
B,B_10,B,mc,4,10. You want to adjust light sensitivity daily without tools. Which component is correct?,Potentiometer (Variable Resistor),Fixed Resistor,Pre-set Resistor,470 ohm Resistor,0,Award 4 points for "Potentiometer (Variable Resistor)".
C,C_1,A,openEnded,8,1. You need an LED to drop 2.0V from a 7.4V battery pack. Current must be 20mA (0.020A). Calculate the exact resistance needed then state the E12 resistor to use.,,,,,,Award 4 pts for voltage drop (5.4V). Award 2 pts for ideal resistance (270 ohms). Award 2 pts for noting 270 ohms IS an E12 value.
C,C_2,A,openEnded,8,2. You measure a Red-Red-Brown-Gold resistor. The meter reads 215 ohms. Prove mathematically if it is safe to use.,,,,,,Award 4 pts for nominal value (220 ohms +/- 5%). Award 4 pts for calculating range (209 to 231 ohms) and concluding 215 ohms is safe.
C,C_3,A,openEnded,8,3. Draw or describe the exact probe placement to measure current flowing through the LED. What must be done to the physical wires?,,,,,,Award 4 pts for stating the circuit must be broken. Award 4 pts for describing the multimeter in SERIES (flow goes into one probe and out the other).
C,C_4,A,openEnded,8,"4. Match each incorrect color code translation to the mistake made: a) ""Brown-Black-Red"" read as 102 ohms. b) ""Red-Red-Brown"" read as 2200 ohms. c) 470 ohm resistor read backwards as Brown-Violet-Yellow.",,,,,,Award 8 pts total. a) Band 3 read as a digit instead of a multiplier (3 pts). b) Multiplied by 100 instead of 10 (3 pts). c) Read from the tolerance end (2 pts).
C,C_5,A,openEnded,8,5. A classmate sets the meter to ohms and probes a resistor while the 7.4V battery is still ON. Describe two consequences.,,,,,,Award 4 pts for stating the reading will be inaccurate or false. Award 4 pts for stating it will likely blow the meter fuse.
C,C_6,B,mc,4,6. A circuit requires 315 ohms. You use an E12 330 ohm resistor. How will this affect the current?,Current will decrease slightly.,Current will increase slightly.,Voltage drops to zero.,Tolerance changes to +/-10%.,0,Award 4 points for "Current will decrease slightly."
C,C_7,B,mc,4,7. You measure 7.4V across an OPEN switch and 0V when the switch is CLOSED. This means:,Normal electrical behavior.,Switch is broken.,Battery is wired backwards.,Meter blew a fuse.,0,Award 4 points for "Normal electrical behavior."
C,C_8,B,mc,4,8. A student's LED flashes briefly then permanently dies. Which resistor color code was most likely used?,Brown-Black-Black-Gold (10 ohms),Yellow-Violet-Brown-Gold (470 ohms),Red-Red-Red-Gold (2.2k ohms),Brown-Black-Orange-Gold (10k ohms),0,Award 4 points for "Brown-Black-Black-Gold (10 ohms)" - too low a resistance caused overcurrent.
C,C_9,B,mc,4,9. If the multiplier band (Band 3) is Orange the resistor value is in the:,Thousands of Ohms (kOhm),Tens of Ohms,Hundreds of Ohms,Millions of Ohms (MOhm),0,Award 4 points for "Thousands of Ohms (kOhm)".
C,C_10,B,mc,4,10. In a series circuit if you swap the position of the resistor and the LED:,Circuit functions exactly the same.,LED burns out immediately.,Current flows in reverse.,Switch stops controlling the LED.,0,Award 4 points for "Circuit functions exactly the same."
Yggdrasil,YGG_1,Y,openEnded,10,A student receives a failing grade because their 12mA soil moisture sensor burned out. They powered it with 7.4V using a Brown-Black-Brown-Gold resistor. Prove mathematically why it failed.,,,,,,Decoding resistor: 100 ohms. Current: I = 7.4 / 100 = 74mA. Conclude 74mA destroys a 12mA sensor. Full marks for all three steps.
Yggdrasil,YGG_2,Y,openEnded,10,Reverse-engineer: you need to drop 5V across a resistor at exactly 10mA. Calculate the required resistance select the best E12 value and write the exact four color bands.,,,,,,R = V/I = 5 / 0.010 = 500 ohms. Nearest E12 value: 470 ohms. Color bands: Yellow Violet Brown Gold. Full marks for all three steps.
Yggdrasil,YGG_3,Y,openEnded,10,A fully charged 8.4V battery powers a 2.0V LED. Calculate the minimum E12 resistor value to ensure the current NEVER exceeds 25mA.,,,,,,Voltage drop: 8.4 - 2.0 = 6.4V. Resistance: 6.4 / 0.025 = 256 ohms. Nearest HIGHER E12 value (for safety): 270 ohms. Full marks for all three steps.
